episod,total_reward
157,-169.498319357
158,-54.5501291145
159,-162.834463536
160,-48.8092529891
161,-139.533151988
162,-55.5976475074
163,-3.24521372098
164,-10.0182533285
165,11.3293076289
166,-7.57352304149
167,-9.79031838148
168,8.36730685285
169,8.32540713296
170,4.90378997473
171,-18.8529027277
172,-62.8763773059
173,-22.6598415391
174,-27.6572244347
175,-16.8119851457
176,-9.51222805746
177,-38.3459863276
178,10.2787371192
179,24.8537096213
180,15.3231436776
181,19.8320398833
182,6.89916740006
183,15.8003049649
184,-125.36877857
185,-6.1435179158
186,0.835021301146
187,7.45814477885
188,-14.8132646163
189,11.2538544974
190,-0.887530961526
191,-42.694523855
192,25.2150529008
193,-18.1354973468
194,-20.2951882613
195,-10.6974462015
196,-38.6243803358
197,-6.26859458044
198,-11.3707851965
199,-13.2310197411
200,14.0842388434
201,-1.25862180659
202,1.04092976589
203,4.0539646576
204,-11.6263726502
205,-12.9180789226
206,-6.68725977432
207,2.14853876262
208,-171.20934146
209,2.19122420147
210,-1.78117195307
211,-4.97451001782
212,-139.356778877
213,-31.0375626396
214,-14.733558066
215,-31.1407760195
216,-154.062405888
217,-145.812705881
218,-153.421817823
219,-153.449704376
220,-15.457434119
221,-152.475577198
222,-155.085594447
223,-153.212688546
224,7.03616539409
225,13.6472815502
226,13.7087749964
227,13.4092987353
228,13.5269587183
229,13.0954711646
230,13.0500619618
231,13.2105552692
232,13.6680962968
233,13.278065852
234,13.5048301424
235,13.6259436556
236,13.3905005463
237,13.4131638078
238,13.7592932447
239,13.8405451822
240,13.5293848135
241,13.4082903584
242,14.1433182126
243,13.6405516576
244,13.8931269845
245,13.3856317414
246,13.2998206357
247,14.1622538402
248,14.1514259034
249,13.7508052707
250,13.3935538238
251,13.4102563457
252,13.400986488
253,13.458829875
254,13.3216545119
255,13.1877157674
256,13.2584421103
257,13.7600943273
258,13.1836571256
259,13.0303977272
260,13.6306629559
261,13.8582495724
262,13.65323995
263,13.777532838
264,13.3743504351
265,13.6196878962
266,13.3349570164
267,12.901894091
268,12.9086903511
269,13.7077926147
270,13.2295692115
271,12.980000701
272,13.6161440264
273,13.2953441536
274,13.8366456973
275,13.4312607783
276,13.3510242839
277,13.3315876819
278,13.3597646765
279,13.7920644718
280,13.0269608981
281,13.1677288606
282,13.6195891446
283,12.9693746441
284,13.6251138853
285,13.9597118168
286,13.3901034073
287,13.7086117119
288,13.4178639557
289,13.3071651412
290,13.1271732725
291,13.880734741
292,13.4449465276
293,13.7759499793
294,13.580876807
295,14.2960478765
296,13.9980582749
297,13.6111711977
298,13.8971950296
299,13.5792463532
300,13.96357887
301,13.5758160414
302,13.0574406518
303,13.0241746124
304,14.276517441
305,13.2543546993
306,13.4700395607
307,13.2813647916
308,13.9636183991
309,13.1276310248
310,13.1658939564
311,13.2470856937
312,13.8526897655
313,13.0904409378
314,13.9420742254
315,13.6348763741
316,13.6066294643
317,13.1089529504
318,13.3186777419
319,13.6522856862
320,13.740232317
321,13.7112491423
322,14.2543907891
323,13.2259135424
324,13.8120954228
325,13.3482998143
326,13.8477879705
327,12.7664423347
328,13.9278953029
329,13.2844113511
330,13.705775632
331,13.2766642959
332,13.785207697
333,13.2307995767
334,13.2914010539
335,13.4923731225
336,13.6221512703
337,13.809222843
338,13.605401237
339,13.3336490401
340,13.6672178711
341,13.4367480025
342,13.4413729596
343,13.4054005957
344,13.3142337248
345,13.6118731349
346,13.3052569624
347,13.3432715727
348,13.5406488272
349,13.4899424175
350,13.5592424597
351,13.7964794872
352,13.1373452702
353,13.5263899807
354,12.7899183641
355,13.3275973179
356,13.8667061371
357,13.755554963
358,13.441866851
359,14.0789603658
360,14.0122003171
361,13.827815989
362,13.506443899
363,12.9246093079
364,13.4452389669
365,13.4265102859
366,13.4859456105
367,13.4647236406
368,13.8480027265
369,13.4452539822
370,13.335892284
371,13.6476389358
372,13.3867535782
373,13.4376946229
374,13.6931482455
375,13.5496762008
376,14.0754486775
377,13.6082206555
378,13.3629167202
379,13.7589215499
380,13.8761581914
381,14.3491770059
382,13.7847255959
383,13.0645269759
384,12.3685242069
385,-36.5783309276
386,-21.1421839914
387,-18.0582258228
388,6.19855711352
389,12.1285018739
390,18.8661045255
391,16.0493772035
392,18.8725587399
393,22.1554795228
394,21.7522956963
395,23.1297223064
396,17.6781118055
397,21.9456984329
398,23.8757354135
399,21.8309557937
400,25.5082690358
401,21.5295227182
402,4.60432213057
403,15.3059467902
404,18.4303015003
405,16.6219586751
406,16.3955087968
407,17.2081679287
408,15.0777414691
409,18.7384377067
410,17.359560323
411,16.1149730455
412,18.6024672693
413,19.6772808192
414,17.488671867
415,17.4056770072
416,18.6979096188
417,16.6185607851
418,1.44241385472
419,-20.5322662397
420,9.57496149417
421,-22.9453178475
422,10.7412600058
423,10.2070182607
424,11.8615500505
425,12.3877535272
426,7.94967978202
427,9.00480556415
428,17.6769352662
429,16.0802093705
430,17.6118826319
431,19.4951046878
432,13.1960071009
433,5.68638048249
434,8.9271355686
435,12.8001788409
436,12.1397780902
437,20.6576188386
438,17.1647633372
439,21.6085987063
440,20.3959895027
441,21.1082440006
442,21.0112538482
443,21.0450448716
444,21.6944272628
445,21.8075633784
446,21.365348132
447,21.2035191785
448,21.436045462
449,23.8153500128
450,20.7588053442
451,20.7888519177
452,21.5325293944
453,20.8152399653
454,20.686994752
455,22.0685477451
456,20.6158696753
457,23.805641809
458,23.8059445128
459,23.8079782449
460,23.7945596993
461,23.8029068604
462,23.7849210685
463,23.7819745029
464,23.7951216198
465,23.7899678326
466,23.793983506
467,23.8001238185
468,23.7524267599
469,23.7830299349
470,21.0911024228
471,20.6442403822
472,23.7626191465
473,21.464514631
474,21.8065446446
475,19.3384689356
476,22.8147891288
477,24.2888069263
478,24.7585455486
479,24.0933900963
480,24.7086658855
481,24.2648534774
482,22.3840982214
483,22.3740874357
